,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
1,2554267,1803.383972483966,85.00818889925596,4897.097010758178,3540.3690358249064,393098.47930879414,393098.47930879414,0,0.0,0
2,318,20.12188299403865,-81.05221962374921,29.718245566517442,15.448787920176986,80.04163056034261,80.04163056034261,0,0.0,0
3,21895,166.9658043791494,-56.210186201150655,227.70590571946434,148.78178018106362,1136.6061684419096,1136.6061684419096,0,0.0,0
4,7426,97.23721951600281,25.525017854649967,122.78104099267095,79.83178354091005,374.8944443027283,374.8944443027283,0,0.0,0
5,35,6.6755811781245455,36.35598558880249,17.00304921427387,3.6058896081217466,29.106601717798213,29.106601717798213,0,0.0,0
6,4626,76.74637537985011,73.07330777794517,98.28428632164201,66.68737396817171,312.2020561473032,312.2020561473032,0,0.0,0
7,3835,69.8775618783265,80.2100483473417,101.80148801668778,49.35005818190249,281.32590180780454,281.32590180780454,0,0.0,0
8,1985,50.273059348912696,89.17602083759967,80.94219402570423,34.183421483443624,214.8111831820431,214.8111831820431,0,0.0,0
9,5991,87.33829694073705,-87.85422583826819,170.0965844866603,48.51150382178375,413.2375900532359,413.2375900532359,0,0.0,0
10,37,6.863662517577698,83.96132165175426,11.555572643421565,4.500118192449067,24.86396103067893,24.86396103067893,0,0.0,0
11,2028,50.81466123790368,-86.2290014219788,78.58499610824737,34.49850556154723,207.80508652763322,207.80508652763322,0,0.0,0
12,12,3.9088200952233594,83.48335168768752,10.17307474860581,2.2255324315146043,10.414213562373096,10.414213562373096,0,0.0,0
13,5381,82.772592023084,86.45371553533683,116.9318334016178,60.407390583493616,308.60407640085657,308.60407640085657,0,0.0,0
14,577,27.104597715372734,-89.71027475756468,41.0587103857965,21.72227854834821,120.73401871576773,120.73401871576773,0,0.0,0
15,5370,82.68794564643521,-25.71073272521966,94.4969108472171,78.17999167092944,327.6995308303615,327.6995308303615,0,0.0,0
